날짜,위치,업종,매출
20190601,강원도,fbeauty,15107526
20190701,강원도,fbeauty,14218848
20190801,강원도,fbeauty,13033944
20190901,강원도,fbeauty,14218848
20191001,강원도,fbeauty,16588656
20191101,강원도,fbeauty,14811300
20191201,강원도,fbeauty,11849040
20200101,강원도,fbeauty,10960362
20200201,강원도,fbeauty,9479232
20200301,강원도,fbeauty,8590554
20200401,강원도,fbeauty,14811300
20200501,강원도,fbeauty,15107526
20200601,강원도,fbeauty,13922622
20190601,전라북도,fbeauty,9775458
20190701,전라북도,fbeauty,9479232
20190801,전라북도,fbeauty,8590554
20190901,전라북도,fbeauty,9775458
20191001,전라북도,fbeauty,10664136
20191101,전라북도,fbeauty,10071684
20191201,전라북도,fbeauty,9775458
20200101,전라북도,fbeauty,7998102
20200201,전라북도,fbeauty,5924520
20200301,전라북도,fbeauty,6813198
20200401,전라북도,fbeauty,10071684
20200501,전라북도,fbeauty,11849040
20200601,전라북도,fbeauty,9775458
20190601,광주광역시,fbeauty,9479232
20190701,광주광역시,fbeauty,9479232
20190801,광주광역시,fbeauty,8294328
20190901,광주광역시,fbeauty,9183006
20191001,광주광역시,fbeauty,10071684
20191101,광주광역시,fbeauty,9775458
20191201,광주광역시,fbeauty,9479232
20200101,광주광역시,fbeauty,7701876
20200201,광주광역시,fbeauty,6516972
20200301,광주광역시,fbeauty,6813198
20200401,광주광역시,fbeauty,10367910
20200501,광주광역시,fbeauty,12145266
20200601,광주광역시,fbeauty,8590554
20190601,울산광역시,fbeauty,6813198
20190701,울산광역시,fbeauty,7109424
20190801,울산광역시,fbeauty,6220746
20190901,울산광역시,fbeauty,7701876
20191001,울산광역시,fbeauty,7405650
20191101,울산광역시,fbeauty,7109424
20191201,울산광역시,fbeauty,6516972
20200101,울산광역시,fbeauty,6220746
20200201,울산광역시,fbeauty,5332068
20200301,울산광역시,fbeauty,4147164
20200401,울산광역시,fbeauty,6516972
20200501,울산광역시,fbeauty,8886780
20200601,울산광역시,fbeauty,6516972
20190601,전라남도,fbeauty,6813198
20190701,전라남도,fbeauty,6516972
20190801,전라남도,fbeauty,5332068
20190901,전라남도,fbeauty,6220746
20191001,전라남도,fbeauty,6516972
20191101,전라남도,fbeauty,6516972
20191201,전라남도,fbeauty,6516972
20200101,전라남도,fbeauty,5332068
20200201,전라남도,fbeauty,4739616
20200301,전라남도,fbeauty,5035842
20200401,전라남도,fbeauty,7405650
20200501,전라남도,fbeauty,8590554
20200601,전라남도,fbeauty,6220746
20190601,제주특별자치도,fbeauty,5924520
20190701,제주특별자치도,fbeauty,5332068
20190801,제주특별자치도,fbeauty,5035842
20190901,제주특별자치도,fbeauty,5332068
20191001,제주특별자치도,fbeauty,6516972
20191101,제주특별자치도,fbeauty,5924520
20191201,제주특별자치도,fbeauty,5628294
20200101,제주특별자치도,fbeauty,5035842
20200201,제주특별자치도,fbeauty,3554712
20200301,제주특별자치도,fbeauty,3850938
20200401,제주특별자치도,fbeauty,6220746
20200501,제주특별자치도,fbeauty,7109424
20200601,제주특별자치도,fbeauty,5332068
20190601,서울특별시,hobbyenter,244935123
20190701,서울특별시,hobbyenter,263371100
20190801,서울특별시,hobbyenter,255469967
20190901,서울특별시,hobbyenter,234400279
20191001,서울특별시,hobbyenter,242301412
20191101,서울특별시,hobbyenter,239667701
20191201,서울특별시,hobbyenter,242301412
20200101,서울특별시,hobbyenter,215964302
20200201,서울특별시,hobbyenter,181726059
20200301,서울특별시,hobbyenter,150121527
20200401,서울특별시,hobbyenter,163290082
20200501,서울특별시,hobbyenter,189627192
20200601,서울특별시,hobbyenter,179092348
20190601,경기도,hobbyenter,194894614
20190701,경기도,hobbyenter,184359770
20190801,경기도,hobbyenter,189627192
20190901,경기도,hobbyenter,179092348
20191001,경기도,hobbyenter,192260903
20191101,경기도,hobbyenter,171191215
20191201,경기도,hobbyenter,181726059
20200101,경기도,hobbyenter,176458637
20200201,경기도,hobbyenter,152755238
20200301,경기도,hobbyenter,163290082
20200401,경기도,hobbyenter,171191215
20200501,경기도,hobbyenter,197528325
20200601,경기도,hobbyenter,163290082
20190601,부산광역시,hobbyenter,57941642
20190701,부산광역시,hobbyenter,60575353
20190801,부산광역시,hobbyenter,71110197
20190901,부산광역시,hobbyenter,52674220
20191001,부산광역시,hobbyenter,52674220
20191101,부산광역시,hobbyenter,50040509
20191201,부산광역시,hobbyenter,57941642
20200101,부산광역시,hobbyenter,52674220
20200201,부산광역시,hobbyenter,39505665
20200301,부산광역시,hobbyenter,36871954
20200401,부산광역시,hobbyenter,36871954
20200501,부산광역시,hobbyenter,50040509
20200601,부산광역시,hobbyenter,47406798
20190601,인천광역시,hobbyenter,31604532
20190701,인천광역시,hobbyenter,28970821
20190801,인천광역시,hobbyenter,28970821
20190901,인천광역시,hobbyenter,28970821
20191001,인천광역시,hobbyenter,28970821
20191101,인천광역시,hobbyenter,26337110
20191201,인천광역시,hobbyenter,31604532
20200101,인천광역시,hobbyenter,31604532
20200201,인천광역시,hobbyenter,26337110
20200301,인천광역시,hobbyenter,26337110
20200401,인천광역시,hobbyenter,26337110
20200501,인천광역시,hobbyenter,31604532
20200601,인천광역시,hobbyenter,26337110
20190601,경상남도,hobbyenter,26337110
20190701,경상남도,hobbyenter,26337110
20190801,경상남도,hobbyenter,28970821
20190901,경상남도,hobbyenter,28970821
20191001,경상남도,hobbyenter,28970821
20191101,경상남도,hobbyenter,26337110
20191201,경상남도,hobbyenter,26337110
20200101,경상남도,hobbyenter,26337110
20200201,경상남도,hobbyenter,26337110
20200301,경상남도,hobbyenter,23703399
20200401,경상남도,hobbyenter,26337110
20200501,경상남도,hobbyenter,31604532
20200601,경상남도,hobbyenter,23703399
20190601,대구광역시,hobbyenter,26337110
20190701,대구광역시,hobbyenter,26337110
20190801,대구광역시,hobbyenter,26337110
20190901,대구광역시,hobbyenter,26337110
20191001,대구광역시,hobbyenter,26337110
20191101,대구광역시,hobbyenter,26337110
20191201,대구광역시,hobbyenter,31604532
20200101,대구광역시,hobbyenter,26337110
20200201,대구광역시,hobbyenter,21069688
20200301,대구광역시,hobbyenter,18435977
20200401,대구광역시,hobbyenter,21069688
20200501,대구광역시,hobbyenter,26337110
20200601,대구광역시,hobbyenter,21069688
20190601,경상북도,hobbyenter,21069688
20190701,경상북도,hobbyenter,18435977
20190801,경상북도,hobbyenter,21069688
20190901,경상북도,hobbyenter,18435977
20191001,경상북도,hobbyenter,21069688
20191101,경상북도,hobbyenter,18435977
20191201,경상북도,hobbyenter,18435977
20200101,경상북도,hobbyenter,15802266
20200201,경상북도,hobbyenter,13168555
20200301,경상북도,hobbyenter,10534844
20200401,경상북도,hobbyenter,15802266
20200501,경상북도,hobbyenter,21069688
20200601,경상북도,hobbyenter,15802266
20190601,충청남도,hobbyenter,18490010
20190701,충청남도,hobbyenter,18176620
20190801,충청남도,hobbyenter,19116790
20190901,충청남도,hobbyenter,17236450
20191001,충청남도,hobbyenter,20370350
20191101,충청남도,hobbyenter,17236450
20191201,충청남도,hobbyenter,19116790
20200101,충청남도,hobbyenter,17236450
20200201,충청남도,hobbyenter,14729330
20200301,충청남도,hobbyenter,15356110
20200401,충청남도,hobbyenter,16296280
20200501,충청남도,hobbyenter,21310520
20200601,충청남도,hobbyenter,15669500
20190601,강원도,hobbyenter,17549840
20190701,강원도,hobbyenter,24444420
20190801,강원도,hobbyenter,31339000
20190901,강원도,hobbyenter,14415940
20191001,강원도,hobbyenter,15042720
20191101,강원도,hobbyenter,11908820
20191201,강원도,hobbyenter,15982890
20200101,강원도,hobbyenter,21310520
20200201,강원도,hobbyenter,13789160
20200301,강원도,hobbyenter,9715090
20200401,강원도,hobbyenter,10968650
20200501,강원도,hobbyenter,14102550
20200601,강원도,hobbyenter,12222210
20190601,충청북도,hobbyenter,14729330
20190701,충청북도,hobbyenter,12535600
20190801,충청북도,hobbyenter,11908820
20190901,충청북도,hobbyenter,11908820
20191001,충청북도,hobbyenter,11282040
20191101,충청북도,hobbyenter,10968650
20191201,충청북도,hobbyenter,11282040
20200101,충청북도,hobbyenter,10968650
20200201,충청북도,hobbyenter,10028480
20200301,충청북도,hobbyenter,12535600
20200401,충청북도,hobbyenter,10655260
20200501,충청북도,hobbyenter,12222210
20200601,충청북도,hobbyenter,10341870
20190601,대전광역시,hobbyenter,12222210
20190701,대전광역시,hobbyenter,12535600
20190801,대전광역시,hobbyenter,13162380
20190901,대전광역시,hobbyenter,11282040
20191001,대전광역시,hobbyenter,11282040
20191101,대전광역시,hobbyenter,10341870
20191201,대전광역시,hobbyenter,12222210
20200101,대전광역시,hobbyenter,10655260
20200201,대전광역시,hobbyenter,10028480
20200301,대전광역시,hobbyenter,10028480
20200401,대전광역시,hobbyenter,10341870
20200501,대전광역시,hobbyenter,12848990
20200601,대전광역시,hobbyenter,8461530
20190601,전라남도,hobbyenter,11595430
20190701,전라남도,hobbyenter,11908820
20190801,전라남도,hobbyenter,14729330
20190901,전라남도,hobbyenter,10341870
20191001,전라남도,hobbyenter,12848990
20191101,전라남도,hobbyenter,11282040
20191201,전라남도,hobbyenter,11282040
20200101,전라남도,hobbyenter,11908820
20200201,전라남도,hobbyenter,8461530
20200301,전라남도,hobbyenter,8461530
20200401,전라남도,hobbyenter,8461530
20200501,전라남도,hobbyenter,12222210
20200601,전라남도,hobbyenter,9401700
20190601,전라북도,hobbyenter,10028480
20190701,전라북도,hobbyenter,10341870
20190801,전라북도,hobbyenter,10968650
20190901,전라북도,hobbyenter,9715090
20191001,전라북도,hobbyenter,10968650
20191101,전라북도,hobbyenter,10028480
20191201,전라북도,hobbyenter,9715090
20200101,전라북도,hobbyenter,9715090
20200201,전라북도,hobbyenter,8148140
20200301,전라북도,hobbyenter,9401700
20200401,전라북도,hobbyenter,9088310
20200501,전라북도,hobbyenter,11595430
20200601,전라북도,hobbyenter,9401700
20190601,제주특별자치도,hobbyenter,11908820
20190701,제주특별자치도,hobbyenter,11282040
20190801,제주특별자치도,hobbyenter,10968650
20190901,제주특별자치도,hobbyenter,8774920
20191001,제주특별자치도,hobbyenter,12535600
20191101,제주특별자치도,hobbyenter,10028480
20191201,제주특별자치도,hobbyenter,9401700
20200101,제주특별자치도,hobbyenter,10028480
20200201,제주특별자치도,hobbyenter,7521360
20200301,제주특별자치도,hobbyenter,5327630
20200401,제주특별자치도,hobbyenter,6581190
20200501,제주특별자치도,hobbyenter,8461530
20200601,제주특별자치도,hobbyenter,7521360
20190601,울산광역시,hobbyenter,9715090
20190701,울산광역시,hobbyenter,10341870
20190801,울산광역시,hobbyenter,9088310
20190901,울산광역시,hobbyenter,8774920
20191001,울산광역시,hobbyenter,8774920
20191101,울산광역시,hobbyenter,8774920
20191201,울산광역시,hobbyenter,10028480
20200101,울산광역시,hobbyenter,8774920
20200201,울산광역시,hobbyenter,8148140
20200301,울산광역시,hobbyenter,8148140
20200401,울산광역시,hobbyenter,8461530
20200501,울산광역시,hobbyenter,9715090
20200601,울산광역시,hobbyenter,8148140
20190601,광주광역시,hobbyenter,8461530
20190701,광주광역시,hobbyenter,8461530
20190801,광주광역시,hobbyenter,7834750
20190901,광주광역시,hobbyenter,7207970
20191001,광주광역시,hobbyenter,7207970
20191101,광주광역시,hobbyenter,7521360
20191201,광주광역시,hobbyenter,8461530
20200101,광주광역시,hobbyenter,7521360
20200201,광주광역시,hobbyenter,7207970
20200301,광주광역시,hobbyenter,7207970
20200401,광주광역시,hobbyenter,7834750
20200501,광주광역시,hobbyenter,10028480
20200601,광주광역시,hobbyenter,7521360
20190601,서울특별시,leisure,230461400
20190701,서울특별시,leisure,228156786
20190801,서울특별시,leisure,221242944
20190901,서울특별시,leisure,198196804
20191001,서울특별시,leisure,221242944
20191101,서울특별시,leisure,207415260
20191201,서울특별시,leisure,200501418
20200101,서울특별시,leisure,212024488
20200201,서울특별시,leisure,179759892
20200301,서울특별시,leisure,147495296
20200401,서울특별시,leisure,177455278
20200501,서울특별시,leisure,202806032
20200601,서울특별시,leisure,184369120
20190601,경기도,leisure,209719874
20190701,경기도,leisure,214329102
20190801,경기도,leisure,209719874
20190901,경기도,leisure,191282962
20191001,경기도,leisure,205110646
20191101,경기도,leisure,186673734
20191201,경기도,leisure,177455278
20200101,경기도,leisure,202806032
20200201,경기도,leisure,152104524
20200301,경기도,leisure,129058384
20200401,경기도,leisure,156713752
20200501,경기도,leisure,195892190
20200601,경기도,leisure,186673734
20190601,부산광역시,leisure,41483052
20190701,부산광역시,leisure,41483052
20190801,부산광역시,leisure,39178438
20190901,부산광역시,leisure,34569210
20191001,부산광역시,leisure,36873824
20191101,부산광역시,leisure,36873824
20191201,부산광역시,leisure,36873824
20200101,부산광역시,leisure,34569210
20200201,부산광역시,leisure,27655368
20200301,부산광역시,leisure,20741526
20200401,부산광역시,leisure,27655368
20200501,부산광역시,leisure,39178438
20200601,부산광역시,leisure,34569210
20190601,경상남도,leisure,36873824
20190701,경상남도,leisure,36873824
20190801,경상남도,leisure,34569210
20190901,경상남도,leisure,32264596
20191001,경상남도,leisure,34569210
20191101,경상남도,leisure,34569210
20191201,경상남도,leisure,29959982
20200101,경상남도,leisure,27655368
20200201,경상남도,leisure,25350754
20200301,경상남도,leisure,20741526
20200401,경상남도,leisure,27655368
20200501,경상남도,leisure,36873824
20200601,경상남도,leisure,32264596
20190601,대구광역시,leisure,39178438
20190701,대구광역시,leisure,36873824
20190801,대구광역시,leisure,36873824
20190901,대구광역시,leisure,34569210
20191001,대구광역시,leisure,34569210
20191101,대구광역시,leisure,32264596
20191201,대구광역시,leisure,34569210
20200101,대구광역시,leisure,34569210
20200201,대구광역시,leisure,25350754
20200301,대구광역시,leisure,11523070
20200401,대구광역시,leisure,16132298
20200501,대구광역시,leisure,27655368
20200601,대구광역시,leisure,23046140
20190601,인천광역시,leisure,29959982
20190701,인천광역시,leisure,27655368
20190801,인천광역시,leisure,25350754
20190901,인천광역시,leisure,25350754
20191001,인천광역시,leisure,27655368
20191101,인천광역시,leisure,27655368
20191201,인천광역시,leisure,25350754
20200101,인천광역시,leisure,25350754
20200201,인천광역시,leisure,23046140
20200301,인천광역시,leisure,20741526
20200401,인천광역시,leisure,23046140
20200501,인천광역시,leisure,29959982
20200601,인천광역시,leisure,27655368
20190601,경상북도,leisure,29959982
20190701,경상북도,leisure,29959982
20190801,경상북도,leisure,27655368
20190901,경상북도,leisure,25350754
20191001,경상북도,leisure,29959982
20191101,경상북도,leisure,27655368
20191201,경상북도,leisure,23046140
20200101,경상북도,leisure,20741526
20200201,경상북도,leisure,16132298
20200301,경상북도,leisure,13827684
20200401,경상북도,leisure,18436912
20200501,경상북도,leisure,27655368
20200601,경상북도,leisure,25350754
20190601,강원도,leisure,27655997
20190701,강원도,leisure,28562751
20190801,강원도,leisure,35816783
20190901,강원도,leisure,23575604
20191001,강원도,leisure,27655997
20191101,강원도,leisure,23122227
20191201,강원도,leisure,34456652
20200101,강원도,leisure,45337700
20200201,강원도,leisure,27655997
20200301,강원도,leisure,14054687
20200401,강원도,leisure,17228326
20200501,강원도,leisure,26295866
20200601,강원도,leisure,29016128
20190601,충청남도,leisure,22215473
20190701,충청남도,leisure,20855342
20190801,충청남도,leisure,20855342
20190901,충청남도,leisure,18588457
20191001,충청남도,leisure,19948588
20191101,충청남도,leisure,18588457
20191201,충청남도,leisure,16321572
20200101,충청남도,leisure,15414818
20200201,충청남도,leisure,12694556
20200301,충청남도,leisure,9520917
20200401,충청남도,leisure,12694556
20200501,충청남도,leisure,18135080
