날짜,위치,업종,매출
201904,전국,연료,2504898
201905,전국,연료,2716282
201906,전국,연료,2583850
201907,전국,연료,2566747
201908,전국,연료,2748775
201909,전국,연료,2505495
201910,전국,연료,2683359
201911,전국,연료,2720731
201912,전국,연료,2799852
202001,전국,연료,2727185
202002,전국,연료,2416052
202003,전국,연료,2333011
202004,전국,연료,2117983
201901,전국,가구/가전,1262882
201902,전국,가구/가전,1163903
201903,전국,가구/가전,1430280
201904,전국,가구/가전,1268250
201905,전국,가구/가전,1428125
201906,전국,가구/가전,1230078
201907,전국,가구/가전,1313486
201908,전국,가구/가전,1284287
201909,전국,가구/가전,1129700
201910,전국,가구/가전,1177194
201911,전국,가구/가전,1229948
201912,전국,가구/가전,1181619
202001,전국,가구/가전,1214098
202002,전국,가구/가전,1209746
202003,전국,가구/가전,1269307
202004,전국,가구/가전,1261647
201901,전국,가구,185582
201902,전국,가구,177747
201903,전국,가구,205344
201904,전국,가구,183900
201905,전국,가구,175731
201906,전국,가구,175220
201907,전국,가구,177643
201908,전국,가구,184189
201909,전국,가구,178369
201910,전국,가구,194618
201911,전국,가구,170556
201912,전국,가구,189373
202001,전국,가구,171274
202002,전국,가구,187233
202003,전국,가구,191836
202004,전국,가구,196150
201901,전국,가전제품/정보통신기기,1077300
201902,전국,가전제품/정보통신기기,986156
201903,전국,가전제품/정보통신기기,1224936
201904,전국,가전제품/정보통신기기,1084349
201905,전국,가전제품/정보통신기기,1252394
201906,전국,가전제품/정보통신기기,1054858
201907,전국,가전제품/정보통신기기,1135843
201908,전국,가전제품/정보통신기기,1100097
201909,전국,가전제품/정보통신기기,951332
201910,전국,가전제품/정보통신기기,982577
201911,전국,가전제품/정보통신기기,1059392
201912,전국,가전제품/정보통신기기,992246
202001,전국,가전제품/정보통신기기,1042824
202002,전국,가전제품/정보통신기기,1022512
202003,전국,가전제품/정보통신기기,1077471
202004,전국,가전제품/정보통신기기,1065498
201901,전국,의료/보건,3633792
201902,전국,의료/보건,3066496
201903,전국,의료/보건,3487020
201904,전국,의료/보건,3368808
201905,전국,의료/보건,3528229
201906,전국,의료/보건,3373985
201907,전국,의료/보건,3492110
201908,전국,의료/보건,3550365
201909,전국,의료/보건,3155649
201910,전국,의료/보건,3630095
201911,전국,의료/보건,3595173
201912,전국,의료/보건,3675993
202001,전국,의료/보건,3726144
202002,전국,의료/보건,3463476
202003,전국,의료/보건,3104928
202004,전국,의료/보건,3341103
201901,전국,종합병원,755809
201902,전국,종합병원,617131
201903,전국,종합병원,707431
201904,전국,종합병원,701189
201905,전국,종합병원,727616
201906,전국,종합병원,698338
201907,전국,종합병원,748939
201908,전국,종합병원,756272
201909,전국,종합병원,656319
201910,전국,종합병원,729895
201911,전국,종합병원,738799
201912,전국,종합병원,753503
202001,전국,종합병원,758621
202002,전국,종합병원,658376
202003,전국,종합병원,570333
202004,전국,종합병원,621846
201901,전국,일반병의원/기타의료기관,2877983
201902,전국,일반병의원/기타의료기관,2449364
201903,전국,일반병의원/기타의료기관,2779589
201904,전국,일반병의원/기타의료기관,2667619
201905,전국,일반병의원/기타의료기관,2800614
201906,전국,일반병의원/기타의료기관,2675647
201907,전국,일반병의원/기타의료기관,2743171
201908,전국,일반병의원/기타의료기관,2794094
201909,전국,일반병의원/기타의료기관,2499330
201910,전국,일반병의원/기타의료기관,2900201
201911,전국,일반병의원/기타의료기관,2856374
201912,전국,일반병의원/기타의료기관,2922490
202001,전국,일반병의원/기타의료기관,2967523
202002,전국,일반병의원/기타의료기관,2805100
202003,전국,일반병의원/기타의료기관,2534595
202004,전국,일반병의원/기타의료기관,2719257
201901,전국,자동차,2195702
201902,전국,자동차,1956543
201903,전국,자동차,2575204
201904,전국,자동차,2463015
201905,전국,자동차,2478845
201906,전국,자동차,2256471
201907,전국,자동차,2321229
201908,전국,자동차,2283828
201909,전국,자동차,2125179
201910,전국,자동차,2447276
201911,전국,자동차,2596123
201912,전국,자동차,2802743
202001,전국,자동차,2018786
202002,전국,자동차,1805665
202003,전국,자동차,2810192
202004,전국,자동차,3081897
201901,전국,국산자동차신품,1424196
201902,전국,국산자동차신품,1302423
201903,전국,국산자동차신품,1744513
201904,전국,국산자동차신품,1687136
201905,전국,국산자동차신품,1611936
201906,전국,국산자동차신품,1425672
201907,전국,국산자동차신품,1485645
201908,전국,국산자동차신품,1409116
201909,전국,국산자동차신품,1363670
201910,전국,국산자동차신품,1588976
201911,전국,국산자동차신품,1707964
201912,전국,국산자동차신품,1931727
202001,전국,국산자동차신품,1292675
202002,전국,국산자동차신품,1085631
202003,전국,국산자동차신품,2061692
202004,전국,국산자동차신품,2280683
201901,전국,기타운송수단,114577
201902,전국,기타운송수단,109905
201903,전국,기타운송수단,149628
201904,전국,기타운송수단,131219
201905,전국,기타운송수단,144308
201906,전국,기타운송수단,143844
201907,전국,기타운송수단,136759
201908,전국,기타운송수단,135354
201909,전국,기타운송수단,121186
201910,전국,기타운송수단,131089
201911,전국,기타운송수단,135699
201912,전국,기타운송수단,140408
202001,전국,기타운송수단,90963
202002,전국,기타운송수단,118591
202003,전국,기타운송수단,138354
202004,전국,기타운송수단,156142
201901,전국,자동차 부품 및 정비,656929
201902,전국,자동차 부품 및 정비,544215
201903,전국,자동차 부품 및 정비,681062
201904,전국,자동차 부품 및 정비,644660
